job_role,required_skills
AI Engineer,"Python,PyTorch,TensorFlow,NLP,Computer Vision,Scikit-learn,Deep Learning"
Accountant,"Accounting,QuickBooks,Excel,Financial Reporting,Attention to Detail,Bookkeeping"
Actuarial Analyst,"Actuarial Science,Statistics,Excel,VBA,SQL,Probability,Financial Mathematics"
Administrative Assistant,"Microsoft Office Suite,Organization,Time Management,Communication,Data Entry"
Aerospace Engineer,"Aerodynamics,CFD,CATIA,MATLAB,Ansys,Structural Analysis"
Android Developer,"Kotlin,Android SDK,Jetpack Compose,MVVM,Room,Retrofit,Java"
Architect,"AutoCAD,Revit,SketchUp,Architectural Design,Building Codes,Project Management"
Architectural Designer,"AutoCAD,Revit,SketchUp,Architectural Design,Adobe Creative Suite"
AR/VR Developer,"Unity,C#,ARCore,ARKit,3D Modeling,Blender,Unreal Engine"
Audio Engineer,"Pro Tools,Ableton Live,Audio Engineering,Mixing,Mastering,Sound Design"
Automation Engineer,"Python,Automation,Selenium,Robotic Process Automation (RPA),APIs,PowerShell"
Backend Developer,"Node.js,Python,Java,Go,REST APIs,Microservices,SQL,Docker,Databases"
Bank Teller,"Cash Handling,Customer Service,Financial Transactions,Accuracy,Sales"
Bioinformatics Scientist,"Python,R,Bioinformatics,Genomics,Statistics,Bash,SQL"
Biomedical Engineer,"Biomedical Engineering,Medical Devices,MATLAB,SolidWorks,FDA Regulations"
Blockchain Developer,"Solidity,Hardhat,Ethereum,JavaScript,React,Web3.js,Cryptography"
Bookkeeper,"QuickBooks,Bookkeeping,Excel,Accounts Payable,Accounts Receivable,Payroll"
Business Analyst,"Business Analysis,Requirements Gathering,SQL,Microsoft Visio,Agile,Communication"
Business Development Representative,"Sales,Lead Generation,Cold Emailing,Communication,CRM,Salesforce"
Business Intelligence Analyst,"Power BI,Tableau,SQL,Excel,DAX,Data Warehousing,Data Visualization"
CAD Drafter,"AutoCAD,Technical Drawing,Drafting,SolidWorks,Attention to Detail"
Campaign Staff,"Political Campaigns,Communication,Voter Outreach,Organization,Fundraising"
Case Manager,"Social Work,Case Management,Empathy,Communication,Record Keeping"
Chemical Engineer,"Chemical Engineering,Process Simulation,Aspen HYSYS,Thermodynamics,Safety"
Civil Engineer,"AutoCAD,SAP2000,Civil Engineering,Structural Analysis,Construction Management"
Cloud Engineer,"AWS,Azure,GCP,Terraform,Docker,Kubernetes,CI/CD,Networking"
Cloud Security Engineer,"Cloud Security,AWS,IAM,Security Hub,Azure Security Center,Terraform"
Coach,"Coaching,Leadership,Teamwork,Communication,Mentorship,Strategy"
Compiler Engineer,"C++,Compilers,LLVM,Parsing,AST,Algorithms,Data Structures"
Compliance Analyst,"Compliance,IT Audit,ISO 27001,Risk Assessment,GDPR,Data Privacy"
Computer Vision Engineer,"Computer Vision,OpenCV,PyTorch,CNNs,Image Processing,Python,C++"
Content Creator,"Video Editing,Graphic Design,Content Strategy,SEO,Social Media,Adobe Creative Suite"
Content Manager,"Content Management Systems (CMS),WordPress,SEO,Content Strategy,Editing"
Content Writer,"Content Writing,Copywriting,SEO,Research,Grammarly,Storytelling"
Copywriter,"Copywriting,Marketing,Branding,Content Strategy,Editing,Creative Writing"
Curator,"Research,Museum Curation,Writing,History,Archiving,Exhibition Design"
Customer Support Representative,"Customer Service,Communication,Problem Solving,CRM Software,Empathy"
Cybersecurity Analyst,"Cybersecurity,Nmap,Wireshark,SIEM,Penetration Testing,Incident Response,Linux"
Data Analyst,"Python,SQL,Tableau,Power BI,Excel,Pandas,Statistics,Data Visualization"
Data Engineer,"Python,SQL,Apache Airflow,Apache Spark,ETL,Data Warehousing,AWS,Snowflake"
Data Entry Clerk,"Data Entry,Typing Speed,Accuracy,Microsoft Excel,Attention to Detail"
Data Governance Analyst,"Data Governance,Data Quality,Data Catalogs,SQL,Collibra,Data Privacy"
Data Scientist,"Python,Machine Learning,Deep Learning,Statistics,SQL,Pandas,Scikit-learn"
Data Visualization Engineer,"D3.js,JavaScript,React,Data Visualization,SVG,HTML,CSS,Tableau"
Database Administrator,"SQL,PostgreSQL,MySQL,Database Administration,Query Optimization,Backup and Recovery"
Developer Advocate,"Communication,Technical Writing,Public Speaking,Python,JavaScript,Community Management"
DevOps Engineer,"Docker,Kubernetes,Jenkins,Terraform,AWS,Azure,CI/CD,Bash Scripting,Ansible"
Digital Marketing Specialist,"Digital Marketing,SEO,SEM,Google Analytics,Social Media Marketing,Content Creation,Email Marketing"
E-commerce Developer,"Shopify,Liquid,JavaScript,E-commerce,Magento,WooCommerce,PHP"
Economist,"Economics,Econometrics,Stata,R,Data Analysis,Mathematical Modeling,Research"
Electrical Engineer,"Circuit Design,PCB Design,VHDL,MATLAB,Power Systems,Electronics"
Electronics Engineer,"PCB Design,Altium Designer,Microcontrollers,C/C++,Soldering,VHDL"
Embedded Systems Engineer,"C,C++,Microcontrollers,Firmware,RTOS,Python,Embedded Linux"
Entrepreneur,"Business Strategy,Sales,Marketing,Finance,Leadership,Problem Solving"
Environmental Engineer,"Environmental Engineering,Sample Collection,Data Analysis,Report Writing,AutoCAD,GIS"
Event Coordinator,"Event Planning,Project Management,Communication,Organization,Budgeting,Vendor Management"
Fashion Merchandiser,"Fashion Merchandising,Trend Analysis,Inventory Management,Retail Math,Excel"
Financial Analyst,"Financial Modeling,Excel,Valuation,Financial Analysis,PowerPoint,Accounting"
Firmware Engineer,"Firmware,C,C++,Embedded Systems,RTOS,Microcontrollers,Debugging"
Flutter Developer,"Flutter,Dart,Firebase,BLoC Pattern,Mobile Development,REST APIs"
Formal Verification Engineer,"Formal Verification,Logic,Coq,Isabelle/HOL,Discrete Mathematics,TLA+"
Frontend Developer,"HTML,CSS,JavaScript,React,Angular,Vue.js,TypeScript,Webpack"
Full-Stack Developer,"JavaScript,React,Node.js,Python,Django,SQL,REST APIs,Docker,HTML,CSS"
Game Developer,"Unity,C#,Unreal Engine,C++,Game Design,Blender,3D Modeling"
Geologist,"Geology,Fieldwork,Rock Identification,Geological Mapping,GIS"
Geographic Information Systems Technician,"GIS,ArcGIS,QGIS,Spatial Analysis,Cartography,Data Management"
Graphic Designer,"Adobe Photoshop,Adobe Illustrator,Graphic Design,Logo Design,Branding,Typography,UI/UX"
Growth Analyst,"Growth Hacking,A/B Testing,Data Analysis,SQL,Google Analytics,Marketing Automation"
Health and Safety Officer,"Occupational Health and Safety,Risk Assessment,Safety Regulations,OSHA"
Help Desk Analyst,"IT Support,Troubleshooting,Customer Service,Active Directory,Ticketing Systems"
Hotel Manager,"Hospitality Management,Customer Service,Hotel Operations,Budgeting,Leadership"
HR Generalist,"Human Resources,Recruitment,Onboarding,Employee Relations,HRIS"
IT Auditor,"IT Audit,Compliance,ISO 27001,Risk Assessment,COBIT,CISA"
IT Support Specialist,"IT Support,Troubleshooting,Customer Service,Active Directory,Networking,Windows OS"
Industrial Engineer,"Lean Manufacturing,Six Sigma,Process Improvement,AutoCAD,Arena Simulation,Statistics"
Instructional Designer,"Instructional Design,E-learning,Articulate Storyline,Adult Learning Theory,ADDIE Model"
Investment Analyst,"Financial Modeling,Valuation,Excel,Bloomberg Terminal,Equity Research,CFA"
iOS Developer,"Swift,SwiftUI,UIKit,Core Data,Combine,Xcode,REST APIs"
Journalist,"Journalism,Writing,Interviewing,Research,AP Style,Ethics"
Lab Technician,"Lab Techniques,Data Collection,Research,Microsoft Excel,Safety Procedures"
Legal Assistant,"Legal Research,Document Drafting,Case Management,LexisNexis,eDiscovery"
Library Assistant,"Research Skills,Customer Service,Library Systems,Organization,Cataloging"
Logistics Coordinator,"Logistics,Shipping and Receiving,Supply Chain,Organization,Inventory Management"
MLOps Engineer,"MLOps,MLflow,Docker,Kubernetes,Kubeflow,Python,CI/CD,Terraform"
Manual QA Engineer,"Manual Testing,Test Cases,Jira,Quality Assurance,Regression Testing,Black Box Testing"
Market Research Analyst,"Market Research,Survey Design,Data Analysis,Excel,PowerPoint,Statistics,Qualtrics"
Marketing Analyst,"Marketing Analytics,SQL,Google Analytics,Excel,Data Visualization,A/B Testing"
Mechanical Engineer,"SolidWorks,AutoCAD,MATLAB,Ansys,Thermodynamics,FEA,Machine Design"
Mobile Developer,"Android,iOS,Kotlin,Swift,Flutter,React Native,Mobile UI/UX"
Music Producer,"Music Production,Ableton Live,Logic Pro X,Audio Engineering,Mixing,Mastering,Music Theory"
NLP Engineer,"Python,NLP,spaCy,NLTK,Transformers,Hugging Face,Deep Learning,PyTorch"
Network Engineer,"Networking,Cisco,Routing,Switching,Firewalls,TCP/IP,CCNA"
Nutritionist,"Nutrition,Meal Planning,Health and Wellness,Research,Dietetics"
PC Technician,"Hardware Assembly,Troubleshooting,PC Components,Windows Installation,A+ Certification"
Paralegal,"Legal Research,Document Drafting,Case Management,LexisNexis,Westlaw,Litigation Support"
Penetration Tester,"Penetration Testing,Burp Suite,Metasploit,OWASP Top 10,Kali Linux,Nmap"
Photographer,"Photography,Adobe Lightroom,Adobe Photoshop,Client Management,Lighting"
Power Systems Engineer,"Power System Analysis,PSS/E,ETAP,MATLAB,Electrical Engineering,Grid Modeling"
Product Designer,"UI/UX Design,Figma,User Research,Prototyping,Wireframing,Design Systems"
Product Manager,"Product Management,Agile,Scrum,Jira,User Stories,Market Research,Roadmapping,Communication"
Production Assistant,"Film Production,Teamwork,Organization,Problem Solving,Scheduling"
Project Coordinator,"Project Management,Asana,Trello,Communication,Organization,Task Tracking"
Public Relations Specialist,"Public Relations,Press Releases,Media Relations,Communication,Crisis Management"
QA Automation Engineer,"Selenium,Python,Java,PyTest,Jira,SQL,Postman,CI/CD,Test Automation Frameworks"
Quantitative Analyst,"Python,Pandas,NumPy,Statistics,Financial Modeling,SQL,C++,R"
Real Estate Agent,"Real Estate,Sales,Negotiation,Customer Service,Marketing"
Recruiter,"Recruitment,Sourcing,Interviewing,Communication,Applicant Tracking Systems (ATS)"
Research Assistant,"Research,Data Collection,Data Analysis,Literature Review,Writing,MATLAB,SPSS"
Research Scientist,"Research,Python,Data Analysis,Scientific Writing,Experiment Design,Statistics"
Retail Manager,"Sales,Customer Service,Inventory Management,Leadership,Merchandising"
Robotics Engineer,"ROS,C++,Python,Motion Planning,Robotics,Control Systems,SLAM"
Sales Development Representative,"Sales,Lead Generation,Cold Calling,Communication,CRM"
Sales Engineer,"Technical Sales,Communication,Presentation Skills,Solution Architecture,APIs"
Salesforce Administrator,"Salesforce,CRM Administration,Apex (basic),Flows,Reports and Dashboards"
Scrum Master,"Scrum,Agile,Jira,Servant Leadership,Facilitation,Conflict Resolution"
Search Engineer,"Information Retrieval,Elasticsearch,Solr,Python,NLP,Ranking Algorithms"
Security Officer,"Security Operations,Surveillance,Incident Response,Communication,Physical Security"
Site Reliability Engineer,"SRE,Prometheus,Grafana,Kubernetes,Docker,Go,Python,Linux,On-Call"
Social Media Manager,"Social Media Marketing,Content Creation,Canva,Community Engagement,Hootsuite,Analytics"
Social Worker,"Social Work,Case Management,Empathy,Communication,Counseling,Advocacy"
Software Engineer,"Data Structures,Algorithms,System Design,Git,Object Oriented Programming,Testing,Problem Solving"
Software Engineer in Test,"SDET,Test Automation,Pytest,Selenium,Java,CI/CD,API Testing,Performance Testing"
Solutions Architect,"Solutions Architecture,AWS,Azure,System Design,Networking,Communication,Stakeholder Management"
Supply Chain Analyst,"Supply Chain Management,Logistics,Inventory Management,Excel,Forecasting,SAP"
Systems Administrator,"Linux,Windows Server,Bash,PowerShell,Ansible,Networking,Active Directory"
Systems Engineer,"C++,Data Structures,Algorithms,Linux,GDB,System Design,Operating Systems"
Talent Acquisition Specialist,"Recruitment,Sourcing,Interviewing,Candidate Experience,Employer Branding,ATS"
Teacher's Assistant,"Teaching,Public Speaking,Grading,Mentoring,Subject Matter Expertise"
Technical Program Manager,"Program Management,Agile,System Design,Stakeholder Management,Roadmapping"
Technical Recruiter,"Recruitment,Sourcing,Technical Recruiting,Communication,Boolean Search,LinkedIn Recruiter"
Technical Writer,"Technical Writing,API Documentation,Markdown,Git,Docusaurus,Confluence,Editing"
Translator,"Translation,Bilingual,Proofreading,Cultural Awareness,Localization,CAT Tools"
Tutor,"Tutoring,Teaching,Communication,Patience,Subject Matter Expertise"
UI Engineer,"React,CSS Animations,Framer Motion,GSAP,JavaScript,UI Design,HTML,CSS"
UI/UX Designer,"Figma,Adobe XD,User Research,Wireframing,Prototyping,UI Design,UX Principles,Visual Design"
UX Researcher,"UX Research,User Interviews,Survey Design,Usability Testing,Qualitative Analysis,Persona Development"
UX Writer,"UX Writing,Copywriting,Content Strategy,Figma,Microcopy,Tone and Voice"
Urban Planner,"Urban Planning,GIS,Research,Public Policy,Zoning,Community Engagement"
Video Editor,"Adobe Premiere Pro,After Effects,Video Editing,Color Grading,Storytelling,Final Cut Pro"
Videographer,"Videography,Adobe Premiere Pro,Filming,Lighting,Audio Recording,Directing"
Warehouse Associate,"Warehouse Operations,Inventory Control,Teamwork,Efficiency,Safety Procedures"
Web Developer,"HTML,CSS,JavaScript,PHP,WordPress,SQL,Git,Responsive Design"
WordPress Developer,"WordPress,PHP,MySQL,JavaScript,HTML,CSS,Theme Customization,Plugin Development"